national_park,state,trail,activity,overall_rating,comment_title,comment_ratings,comment_text
Kenai Fjords National Park,Alaska (AK),Fox Island,Islands,4.5,Great Trip,5.0 of 5 bubbles,"Our Kenai Fjords Cruise to Fox Island was one of the hightlights of our trip to Alaska.  We saw wildlife on the way to the island including orca whale, dall porpoise, otters, sea lions, bald eagle, and puffins.  We loved getting up close to the glaciers and watched them crash into the ocean.  The trip was cold so be sure to dress in layers.  We retreated to the inside of the boat for warmth from time to time.  Our stay on Fox Island was the perfect way to cap off a very fun boat trip.  We enjoyed our salmon/prime rib dinner followed by skipping rocks on the beach. "
Kenai Fjords National Park,Alaska (AK),Fox Island,Islands,4.5,"Hmm, maybe it was an off day.",3.0 of 5 bubbles,"We stopped here as part of a fjords boat tour.  The restrooms on the island were not functioning, and the smell was pretty rough.  The food served was subpar.  However, the guest speakers were nice and informative, and we enjoyed walking the pebble beach.  But we could also have done without. "
Kenai Fjords National Park,Alaska (AK),Fox Island,Islands,4.5,Fox Island Dinner Cruise ,4.0 of 5 bubbles,"We started out with a very rainy/foggy evening. With that said the experience was very nice. We got to see puffins,seals, several other types of sea birds, eagles and a whale! The prepared meal of salmon and prime rib, awesome potatoes along with salad was a great touch. The dinner was severed at the Fox Island Lodge along with a narration by a Park Ranger about the area and the island. "
Kenai Fjords National Park,Alaska (AK),Harding Ice Field Trail,Hiking Trails,5.0,"A great hike, with views of Exit Glacier!",4.0 of 5 bubbles,"Even though it was raining, we decided to go on this hike. The trailhead for the Harding Icefield trail is about 0.3m from the parking lot. Before starting we headed to the Glacier View Overlook trail which is about a mile i think. Returning from that we headed to the Harding Ice Field Trail. You need to sign-in at the box at the start of the trail. "
Kenai Fjords National Park,Alaska (AK),Harding Ice Field Trail,Hiking Trails,5.0,Epic Hike,5.0 of 5 bubbles,"We just did this hike and it was truly a once in a lifetime experience! I was super worried that I wouldn’t be able to make it all the way but I did! I m 56 yrs old and in relatively good shape, but not in great shape! We took it slow and  made it to the end! We took plenty of breaks on the way up and were much faster coming back down after a long break at the top! It was sooo worth it! The views are phenomenal. Also be bear aware! 1.5 miles up we heard a startling grunt beside us on the trail. Then brush snapping and another grunt! We hustled as fast as we could to get out of that forested section! At the end we checked in with the ranger and were told it was a black bear that other hikers actually saw 15 minutes behind us on the trail. That was scary so make sure you take precautions ! Also, like others have said, we clocked the mileage and it came to 10.2. It’s longer than what you see posted! Do it- you won’t regret it!!"
Kenai Fjords National Park,Alaska (AK),Harding Ice Field Trail,Hiking Trails,5.0,Worth doing at least part way,5.0 of 5 bubbles,We hiked with an 8 and 12 year old and made it to Marmot Meadow.  We could have gone higher but there was snow on the trail even when we stopped.  Great views along the way and came surprisingly close to a black bear - so be aware on the trail.  Would love to go back to reach the top.
Kenai Fjords National Park,Alaska (AK),Harding Ice Field Trail,Hiking Trails,5.0,One tough hike that is worth it,5.0 of 5 bubbles,"This is one tough hike. Be prepared to spend a good portion of the day on this one.  Steady uphill climb for the first 4 miles, but the views from the top are well worth it.  I would suggest trekking poles, plenty of water and snacks. Our total hike from parking lot to the edge of the ice field and back was 11.5 miles. Get there early because the parking lot fills up by mid morning.  This is a busy trail, so don't think you will be out there alone., "
Kenai Fjords National Park,Alaska (AK),Harding Ice Field Trail,Hiking Trails,5.0,Epic hike!,5.0 of 5 bubbles,"Outstanding hike. Well maintained trail. Majestic views. Wish we would have trained for it. We did make it to the very top. It took us all of 8hrs and I would have liked to rest more both up and down. Trekking poles were very helpful  climbing rocks and on snow near the top in mid-July. Lots of great views 1/2 to 3/4 to top, so possible to make a little shorter and still great hike. Top is amazing though."
Kenai Fjords National Park,Alaska (AK),Harding Ice Field Trail,Hiking Trails,5.0,Views worth every step of the hike,5.0 of 5 bubbles,"This ~8 mi round trip hike is absolutely worth it. It’s a bit of a tough trail at parts but doable if you pack the right gear (layers, good hiking boots, rain layers, and a good winter hat). It can get cold and rainy up on the field. The views are breathtaking and continue to get even better as you get higher and higher."
Kenai Fjords National Park,Alaska (AK),Harding Ice Field Trail,Hiking Trails,5.0,One of the best hikes ever! ,5.0 of 5 bubbles,"I have hiked all over the world. This is, without question, one of the best hikes I have ever done. It's hard, but absolutely magnificent. Once you get above the tree line the views are absolutely stunning. You won't regret it. "
Kenai Fjords National Park,Alaska (AK),Harding Ice Field Trail,Hiking Trails,5.0,"Amazing hike, Top Alaskan experience",5.0 of 5 bubbles,"We hiked this trail with our 10 and 8 year old children.  We were very lucky that the weather was perfect.  I actually planned our Alaskan trip around this hike.  I had initially wanted to come to Alaska a few years ago.  But knowing that our kids wouldn’t be able to make the hike, I decided to put off our entire Alaskan trip until the kids are old enough to do it.  And I am glad we made that decision.  It’s a very tough hike.  The total distance is about 8 miles round trip, and you gain 3000ft in elevation.  The good thing is that the elevation itself is not bad, starting at 500ft, ending around 3500ft.  "
Kenai Fjords National Park,Alaska (AK),Harding Ice Field Trail,Hiking Trails,5.0,Plan Ahead on your stopping point,4.0 of 5 bubbles,"There are various descriptions of how long this hike is. According to my experience, the trail head is 0.4 miles from the visitor center, and the trail is 3.9 miles one way. So in total it’s 8.6 miles from the visitor center. There is also a little over 3000 feet elevation gain from the visitor center to the end of the trail. The mile markers in my review are all from the trail head. Mile 1.3 is the Marmot Meadows viewpoint. There is a giant relatively flat rock just a little off the trail that you can see Exit Glacier very well. This point is a little over 1000 feet elevation gain, so the hike up to this point is certainly not considered easy at all. This is the first good point for you to turn back. The next good turning back point is at mile 1.6, Bottom of Cliffs. The final turn back point is at mile 2.3, Top of the Cliffs. The difficult hike becomes really strenuous after this point and honestly the view of the Glacier does not get better until you get all the up to the end of the trail. The day we were there, it was misty to begin with, and it became a steady rain by the time we got to the Top of the Cliffs. We came prepared with rain poncho. I want to give a shout-out to my kids, ages 9 and 13. I wouldn’t have made it if it wasn’t for the fact that they were so much ahead of me and couldn’t hear me calling them back, so I was left with no choice but to keep climbing up with the rain right in my face and wind blew against me. I want to emphasize the hike up is STRENUOUS and you really need good hiking shoes to keep you from slipping and your feet from getting wet. There are areas on this trail where you don’t see Exit Glacier at all, and it’s all black rock that made me feel like I was on Mars. I am beyond proud that we made it all the way up. There is an emergency shelter at mile 3.6. It’s small shelter with a couple of snow shovels. There is no bench or anything to sit on. It was an interesting read of who’s being there from the writings on the wall as I sat on the floor to rest. "
Kenai Fjords National Park,Alaska (AK),Harding Ice Field Trail,Hiking Trails,5.0,Great hiking experience for the whole family,5.0 of 5 bubbles,"We hiked the trail in mid-July. We started out late in the early afternoon. Due to the long day light hours in the summer of Alaska, we made it back before it was getting dark.  The trail is not easy but manageable. Our 9 to 13 year-old kids and their 75 year-old grandma made all the way to the ice field. The first part was hot. The middle part was hard since some of the large rocks were hard to climb for a young kid and elder. The last part was easy but cold. So dress in layers and bring enough water and some snacks. The view was changing along the way which was absolutely mesmerizing. The view at the ice field was breathtaking. We spent a couple of hours at the top. Along the trail, we saw a lot of mountain goats and had two close encounters with two black bears. Each time, the bear just run away.  The hiking experience and the breathtaking views are worth all efforts. Definitely a must if your family enjoy hiking."
Kenai Fjords National Park,Alaska (AK),Exit Glacier,Nature & Wildlife Areas,4.5,Unmatched Beauty and Awesomeness!,5.0 of 5 bubbles,"We visited the Exit Glacier both on our own and on a guided tour - I recommend BOTH! The adults in our group first visited Exit and hiked up to Marmot Meadows, then went off trail a bit to get a better view of the glacier. Be aware of your surrounding and safety to know when you are getting into dangerous territory (too close to the glacier and the sliding rocks), but it's worth the trek. The hike up is definitely physically trying and I'd recommend taking hiking poles - we didn't have them and would have liked to, especially if we'd gone up further. We happened to visit on a day that was dry, and it was gorgeous, but still a bit slippery."
Kenai Fjords National Park,Alaska (AK),Exit Glacier,Nature & Wildlife Areas,4.5,Worth the stop,5.0 of 5 bubbles,"Beautiful to see- the main trail to the glacier is fairly easy. The Harding Ice Trail is definitely a lot more difficult but the view is very pretty! Overall, great stop. Would definitely recommend taking a half-day to full-day (depending on the trail) to see it"
Kenai Fjords National Park,Alaska (AK),Exit Glacier,Nature & Wildlife Areas,4.5,Great view at the end and pretty easy hike,5.0 of 5 bubbles,The view of the glacier at the end was really cool. This is a pretty easy hike but hiking boots are recommended since it gets rocky. We completed this hike with our 15 month old so we did the shorter trail but it still offers a really nice view of the glacier and fjords.
Kenai Fjords National Park,Alaska (AK),Exit Glacier,Nature & Wildlife Areas,4.5,Impressive hike to see disappearing beauty,5.0 of 5 bubbles,"Go early as parking fills and trail is extremely popular.  Restrooms available at trailhead.  Trailhead is well marked and trail is paved for about a quarter of the trail to a lower viewing area.  Trail includes one stream crossing on a plank, however depending on time of year may be underwater.  Stone steps for the steep sections should be used with caution; children need supervision.  Glacier has receded dramatically, but the hike was worth the effort."
Kenai Fjords National Park,Alaska (AK),Exit Glacier,Nature & Wildlife Areas,4.5,Exit Glacier ,5.0 of 5 bubbles,The trailhead is a 15 min drive from Seward. It’s not too long of a hike. When you get to the end and can view the glacier it gets windy and cold. You may want to do the 8-9 mile hike to the top of the ice field- seems pretty cool. 
Kenai Fjords National Park,Alaska (AK),Exit Glacier,Nature & Wildlife Areas,4.5,Must do activity in Seward,5.0 of 5 bubbles,This is a must see attraction in Seward. 
Kenai Fjords National Park,Alaska (AK),Exit Glacier,Nature & Wildlife Areas,4.5,Bring mosquito spray!,5.0 of 5 bubbles,"We visited Exit Glacier on a very cloudy day with occasional rain showers but still enjoyed the experience. We hiked the Glacier Overlook Loop Trail with a total distance of approximately 2 miles. The first half of the trail going up is easy but the second half of the ascent is more challenging, particularly when the rocky ground is wet. We were very happy to have mosquito spray with us. The mosquitoes are large and aggressive. The blue color of the glacier is cool and I recommend the trip."
Kenai Fjords National Park,Alaska (AK),Exit Glacier,Nature & Wildlife Areas,4.5,Free and Beautiful,4.0 of 5 bubbles,"This was an easy drive from Seward and well marked. There is a easy trail from the parking lot to a good view of the glacier. There are a few stops on the way to get a better look at the gray water streaming from the glacier. The view is really pretty, and we spent about 30 minutes just watching. We had no desire to go on the much more intense hike, but I’ve heard the ice field hike is worth it. The gift shop was also nice."
Kenai Fjords National Park,Alaska (AK),Exit Glacier,Nature & Wildlife Areas,4.5,Free ranger led Exit Glacier tour,5.0 of 5 bubbles,We were in Seward to go on the Major Marine 8.5 hour tour near Seward. We had some extra time and penned in the free ranger led tour of Exit Glacier in our itinerary.
Kenai Fjords National Park,Alaska (AK),Exit Glacier,Nature & Wildlife Areas,4.5,As good as I remember!,5.0 of 5 bubbles,"I knew that Exit Glacier had receded quite a bit since my last visit in 2003, so I wasn’t sure what to expect.  But it was as much fun this time around as it was back then. You have to walk a little further to see the glacier now, but it actually makes for a nice hike. We went to the Overlook and then hiked down to the outwash plain and walked along the river towards the glacier which was really nice.  Very scenic and easy hike, if you’re in the area you shouldn’t miss this."
Joshua Tree,California (CA),Saddle Rocks,Hiking Trails,5.0,Hiking in the desert,5.0 of 5 bubbles,"My wife and I wanted to walk in the desert. We had fun, exploring the plants. The Saddle Rock was the best place to  enjoy the desert."
Joshua Tree,California (CA),Saddle Rocks,Hiking Trails,5.0,The attractive mountain,5.0 of 5 bubbles,Saddle Rocks reminds me of a saddle on a  horse. However there are no horses.
Joshua Tree,California (CA),Ocotillo Patch,Points of Interest & Landmarks,4.0,Is it a Cactus or pile of dead sticks?,4.0 of 5 bubbles,"Located on Pinto Basin Road in Joshua Tree National Park is a pull off the road area where one can be dazzled by beautiful views of the surrounding area. This area is known as the Ocotillo Patch. An informational kiosk provides information on the Ocotillo Fouquieria splendens plant that grows abundantly in the area. This plant is not a cactus, but a bush that can grow up to thirty-five feet tall. To the casual observer this plant is a large pile of dead sticks. This dramatically changes when rain hits the area. Brillant crimson flowers appear on each stem and a plethora of bees abound near each blossom, The branch is covered with thorns that will provide painful inflictions to your skin if you happen to get pricked. Unfortunately, no blossoms, just a lot of dead look sticks on this trip. Still an interest facet of Southern California environmental diversity to observe."
Joshua Tree,California (CA),Ocotillo Patch,Points of Interest & Landmarks,4.0,Enjoying the Ocotillo,5.0 of 5 bubbles,I liked the Ocotillo Patch. It is so beautiful to enjoy! Many tourists come to see this.
Joshua Tree,California (CA),Ocotillo Patch,Points of Interest & Landmarks,4.0,Interesting for 5 minutes,4.0 of 5 bubbles,"It is interesting to see this unique tree and to read the sign about it, but nothing much to see really. Worth a stop if you are here already. "
Joshua Tree,California (CA),Ocotillo Patch,Points of Interest & Landmarks,4.0,Occotillo Patch here we come,4.0 of 5 bubbles,"Not a Cactus but a thorny type bush/tree to be found in various areas of Joshua Tree.  Found a turnout that had signage about this tree.  Also some Occotillo  were there also.  Saw this tree in various areas of the park and in home garden,"
Joshua Tree,California (CA),Ocotillo Patch,Points of Interest & Landmarks,4.0,Easy stop if you drive along Pinto Basin Road,4.0 of 5 bubbles,You'll see some  Ocotillo's  but not many. For example Ocotillos are everywhere in Saguaro NP. But if you visit this place spring time you'll see Ocotillo's flowers and green leaves 
Joshua Tree,California (CA),Banana Cracks Rock,Geologic Formations,5.0,Sundown is the best at Banana Cracks Rock,5.0 of 5 bubbles,This was my best attraction at Joshua Tree.
Joshua Tree,California (CA),Banana Cracks Rock,Geologic Formations,5.0,"A great time to explore the Hemingway Buttress & Banana Cracks, Joshua Tree",5.0 of 5 bubbles,Naturally we can climb in different places. we found one that was a bit easier.
Joshua Tree,California (CA),Joshua Tree Art Gallery,Art Galleries,4.0,Worth a Visit!,4.0 of 5 bubbles,"This is a co-op art gallery owned and run by a dozen or so local Joshua Tree artists. It is right on the highway going through Joshua Tree. I found the art to be really interesting and intriquing.   Many genres of art are on display; photography, painting and sculpture.  During our visit we was a variety of interesting and provocative works on display. Well worth taking the time to visit."
Joshua Tree,California (CA),Joshua Tree Art Gallery,Art Galleries,4.0,A Fine Venue for Local Artists,5.0 of 5 bubbles,"This is a cooperative art gallery owned and run by a dozen or so local Joshua Tree artists.   It is right in the middle of Joshua Tree.   The art is really interesting and highly professional.   These are not the local amateurs.   Ranging from photography through painting and sculpture, there are always interesting and provocative works on display.    Prices are quite reasonable.   It is near some of the local restaurants, e.g., Crossroads, Ricochet, the Saturday morning Farmers/Art Market and the Red Arrow Art Gallery, another interesting and worthwhile gallery. .   It is well worth a visit."
Joshua Tree,California (CA),Joshua Tree Art Gallery,Art Galleries,4.0,Well-selected local artists.,4.0 of 5 bubbles,This gallery is mostly open by appointment.  It isn't large but worth taking the trouble to set up a time.
Joshua Tree,California (CA),Joshua Tree Art Gallery,Art Galleries,4.0,OK,3.0 of 5 bubbles,Depending on your tastes you can find some good art here. Art is subjective so it's up to the individual critiquing it. 
Joshua Tree,California (CA),Joshua Tree Art Gallery,Art Galleries,4.0,Always fresh and interesting.,5.0 of 5 bubbles,"Always fresh work being displayed, and some of the artists always seem to be there to talk to. Not a very large place, but certainly one of the best regular spots in the area to check out the local art work."
Joshua Tree,California (CA),Joshua Tree Art Gallery,Art Galleries,4.0,Excellent,4.0 of 5 bubbles,"Went there by sheer accident a year or so ago, and found it fascinating. Much local art, mostlymprimitive or expressionist when I visited 2 years agon."
Joshua Tree,California (CA),Murtle the Turtle,Points of Interest & Landmarks,4.5,Farmer's Market,5.0 of 5 bubbles,"OK... so, I couldn't find where to put this review.  On Saturday mornings, there's a farmer's market at this location.  One of the best I've ever been to.  Quite an eclectic mix... growers, producers, artists, herbalists, soap makers, etc.  Well worth the stop... even just to people watch.  "
Joshua Tree,California (CA),Murtle the Turtle,Points of Interest & Landmarks,4.5,Sculpture to honor a tradition and endanger species,5.0 of 5 bubbles,"As you are traveling down Twentynine Palms Highway in Joshua Tree and approach Sunset Road and Hillside Road located on the south side of the road you will find a unique sculpture. It is a giant turtle. “Murtle the Turtle” is the world’s largest replica of a tortoise. This larger that live sculpture is a beautiful recreation of the desert tortoise which one dominated the landscape in this area. During the 1950 – 1960s, Joshua Tree use to hold an annual Turtle Day Parade and Turtle Races to honor this magnificent creature. Over the years, this reptile started to disappear from the surrounding landscape. Eventually it was declared an endanger species, and Joshua Tree gave up their Turtle Day Parade and Races. To honor this tradition and the tortoise, Joshua Tree designed a statue using a concept taken from a 1957 painted plaster turtle parade float. Hence the birth of “Murtle the Turtle.”  Over the years, time and weather played havoc with this rendition of the Turtle and it was replaced with the current sculpture. Outstanding sculpture to honor a past tradition and a beautiful creature. Well worth a visit."
Joshua Tree,California (CA),Murtle the Turtle,Points of Interest & Landmarks,4.5,Super cute quick stop,4.0 of 5 bubbles,Really cute statue based in the middle of the street. The statue is really cute and the detail is amazing it’s worth a quick stop
Joshua Tree,California (CA),Murtle the Turtle,Points of Interest & Landmarks,4.5,Photo Opportunity,4.0 of 5 bubbles,Fun place to stop for memory photos of time spend in Joshua Tree Park.   Nothing more to see than is visible in the photo but worth a look! 
Joshua Tree,California (CA),Murtle the Turtle,Points of Interest & Landmarks,4.5,A heart warming tribute ,5.0 of 5 bubbles,"The giant turtle by the side of the road caught our attention as we were driving by so we stopped to check it out. There is a really lovely story attached to it, referring to a local member of the community - it was lovely to read and feel. Highly recommend sparing some time to acknowledge and recognise Murtle."
Joshua Tree,California (CA),Murtle the Turtle,Points of Interest & Landmarks,4.5,Quick photo op on the main road,5.0 of 5 bubbles,"Located on the main road, it is hard to miss as it is right next to the Joshua Tree sign. We stopped, took photos, and then kept walking."
Joshua Tree,California (CA),Murtle the Turtle,Points of Interest & Landmarks,4.5,Murtle is Big,5.0 of 5 bubbles,"Used address and found that part of the parking lot was bloced and you had to go around to park.  this is one big turtle or desert tortoise.  Supposed to be the worlds largest and it is ""BIG"""
Joshua Tree,California (CA),Murtle the Turtle,Points of Interest & Landmarks,4.5,Driving by,4.0 of 5 bubbles,On our way to AZ we came across Murtle The Turtle. Heard so many good things about this amazing statue
Joshua Tree,California (CA),Murtle the Turtle,Points of Interest & Landmarks,4.5,Just do it! Giant stone turtles are cool!,5.0 of 5 bubbles,"This is a quick and easy stop. Turn in to the street right before (Hillview) and you will find the turtle on the street side, middle of the parking lot, opposite the laundry and not quite to the health food store, right next to the Joshua Tree metal signage."
Joshua Tree,California (CA),Murtle the Turtle,Points of Interest & Landmarks,4.5,take your picture with a turtle,5.0 of 5 bubbles,giant turtle before the turn to Joshua Tree National Park. Good place to take a picture with your kids and teach them about the turtles in the desert.
Joshua Tree,California (CA),World Famous Crochet Museum,Speciality Museums,4.0,"Don't miss this one, crafters!",5.0 of 5 bubbles,"I stumbled upon this gem in Yelp.  If you love crocheted and/or knit animals this is the place for you!  It is a bit difficult to find, but if you drive behind the Joshua Tree Saloon (easy to find) there it is, in an outrageous color of green, and it might be the smallest museum you'll ever visit.  The key is in the door, just turn the key and enter!  There is a donation box to the right to give a donation.  The building is jam packed with big and small animals all either crocheted or knit.  Upon leaving the museum, I met the owner, a fun young lady from the Art Queen store next door.  She does not crochet, but she started collecting the poodles and all went wild after that.  The museum is the most wild and crazy thing I have seen in a long time and all I could do is laugh and giggle and take lots of pictures!  Before or after visiting the Joshua Tree National Park, be sure to stop by the museum.  It won't take too long and you'll be glad you did!  I sure am glad we stopped!"
Joshua Tree,California (CA),World Famous Crochet Museum,Speciality Museums,4.0,Madet To Feel Like An Outsider,1.0 of 5 bubbles,"As a quiltmaker, I felt extremely uncomfortable surrounded by the many crochet works on display at the WORLD FAMOUS CROCHET MUSEUM (as the sign so arrogantly and proudly proclaims). "
Joshua Tree,California (CA),World Famous Crochet Museum,Speciality Museums,4.0,A block of art,4.0 of 5 bubbles,the museum is in a complex with other amazing art. I love the museum but really makes it is all the other art that surrounds it. 
Joshua Tree,California (CA),World Famous Crochet Museum,Speciality Museums,4.0,Cool spot,5.0 of 5 bubbles,Nice Art Space
Joshua Tree,California (CA),World Famous Crochet Museum,Speciality Museums,4.0,Hilarious and fun!,5.0 of 5 bubbles,"This tiny spot is so fun.  It's fun to look around in here, but also there are other places in this little artist spot to see and buy other treasures.  Doesn't take long to see everything and it's very fun.  It is close to the main road.  My group enjoyed it a lot.  "
Joshua Tree,California (CA),World Famous Crochet Museum,Speciality Museums,4.0,Charming is good word,4.0 of 5 bubbles,"Yes as someone else wrote in a review, this place is as tiny as it looks. About 9 feet by 5 feet. Really a novelty to see and that is why I gave it 4 stars otherwise, in reality, it's a 1 star. But it is surrounded by funky art on the wood fences and steps away is a very very very small art gallery and other art objects, I wouldn't go out of your way, but if you are near the corner of 29 Palms Highway and Park Blvd/Quail Springs road - it's right next to the Joshua Tree Saloon and is surrounded by a bunch of local funky shops."
Joshua Tree,California (CA),World Famous Crochet Museum,Speciality Museums,4.0,Cute and quirky,4.0 of 5 bubbles,It is very quirky little place surrounded with other art stores. It is fun and definitely worth stopping by.
Joshua Tree,California (CA),World Famous Crochet Museum,Speciality Museums,4.0,Fun stop downtown,4.0 of 5 bubbles,Fun stop to bring out-of-town visitors. So. Much. Crochet in a tiny space.  We always stop in and buy a couple of stickers for our kid when we visit.
Joshua Tree,California (CA),World Famous Crochet Museum,Speciality Museums,4.0,Different from what we're used to,5.0 of 5 bubbles,"To be honest... I was waiting in the car.  But, my family loved this place... and said that I really missed out.  Nearby is another artisan who does stuff with 'trash'... my family also really loved that too."
Joshua Tree,California (CA),World Famous Crochet Museum,Speciality Museums,4.0,Interesting place.,4.0 of 5 bubbles,My girlfriend liked all the interesting things in there. I had to drag here out. It's got a hippy vibe to it. Many arts and crafts things. Lots of vintage clothing. It's just a fun place to visit and the prices are very reasonable.
Joshua Tree,California (CA),Carey's Castle,Caverns & Caves,5.0,8 mile hike to a remote cabin in Joshua Tree NP.,4.0 of 5 bubbles,"Fair warning, you do need to drive past a No Trespassing sign to get to the trailhead  which is on Metropolitan Water District land.  It may or may not be legal to park here.   I found many posts saying that the trail is easy to follow,  just follow the footprints. This indicates that the trailhead is used regularly.  I also found no posts regarding being ticketed. These observations seem to indicate that it is relatively safe to park here."
Joshua Tree,California (CA),Carey's Castle,Caverns & Caves,5.0,Great hike in JT,5.0 of 5 bubbles,"I have tried this hike twice. The 1st time, I went with 3 others and went up the wrong canyon and we discovered our mistake to far into the trip to correct it before dark.  We found Carey's Castle on our 2nd trip about 3 weeks later.  It was definately worth the trip.  We got there in about 1 1/2 hours and had lunch after exploring the Castle.  We, then, went to the mine that Carey was working.  This is about 1/4 mile from the Castle.  We will be going back on this hike soon."
Joshua Tree,California (CA),Carey's Castle,Caverns & Caves,5.0,Ca Hikers Careys Castle Adventure,5.0 of 5 bubbles,A hike to Carey's Castle in Hiking Joshua Tree National Park. This Place is hard time find and we want to keep it that way. Make sure you take plenty of water and food. Make sure you take a map of the area or YOU WILL GET LOST.
Joshua Tree,California (CA),Carey's Castle,Caverns & Caves,5.0,A long tiring hike...but worth it,5.0 of 5 bubbles,"The Joshua Tree Natl Park is all about wilderness and primitive settings.  this is a tough hike, but well worth it.  Bring along lots of water!"
Joshua Tree,California (CA),Noah Purifoy Desert Art Museum,Art Museums,4.0,Surreal Plein Air Desert Museum,5.0 of 5 bubbles,"What an unexpected treat on the way to Joshua Tree! The large scale assemblage pieces were fascinating, especially juxtaposed with the high desert and its light. Definitely worth the visit. Just wish there was more explanation of each piece and what the artist was saying in it."
Joshua Tree,California (CA),Noah Purifoy Desert Art Museum,Art Museums,4.0,Nothing else like it,5.0 of 5 bubbles,"I wouldn’t class myself as an ‘arty’ sort of person, but I am intrigued by things that are quirky and unusual and this is definitely in that category. Our sat nav took us on a bit of diversion through the desert to get there and you really need to know where you are going to find this as it is located about 6 miles north of Joshua Tree and even Google Street view stops a mile short of it, however we did get there and it was well worth it."
Joshua Tree,California (CA),Noah Purifoy Desert Art Museum,Art Museums,4.0,Art in the desert - check it out,5.0 of 5 bubbles,Stopped here on a recent trip in Joshua Tree. It truly feels like you've stepped into a new world here. Enjoy the lines and the light play that the artist has created at this unique open space. Let your mind wander and enjoy a quiet visit to something out of the ordinary. 
Joshua Tree,California (CA),Noah Purifoy Desert Art Museum,Art Museums,4.0,The Noah Purifoy Outdoor Desert Art Museum is Amazing!,5.0 of 5 bubbles,The Outdoor Desert Museum of Assemblage Sculptures is an eclectic collection of art created by famed artist Noah Purifoy.
Joshua Tree,California (CA),Noah Purifoy Desert Art Museum,Art Museums,4.0,Dirt roads to decay,1.0 of 5 bubbles,"This may have been something to see at one time, but time and the elements have not been kind."
Joshua Tree,California (CA),Noah Purifoy Desert Art Museum,Art Museums,4.0,Waste of time driving out here,1.0 of 5 bubbles,"I’m not an art expert or even an art amateur, but this doesn’t look like art to me. We spent about 15 minutes and decided it looked like someone had organized their junk into separate piles, never finishing anything. It’s not even interesting, just weird. The weirdest thing, to me, is that some feels its worth preserving."
Joshua Tree,California (CA),Noah Purifoy Desert Art Museum,Art Museums,4.0,Like no other.,4.0 of 5 bubbles,Outside art to its logical extreme.  Everything is outdoors and made with the creativity of the artist.  Spend at least an hour walking around.  They also have water bottles and tote bags for sale in a nice visitor center.
Joshua Tree,California (CA),Noah Purifoy Desert Art Museum,Art Museums,4.0,A must for desert art lovers,5.0 of 5 bubbles,I think you have to be a certain type of person to really appreciate Desert art & this did not disappoint! We loved it and it and made better by the backdrop of the desert. Much of the art work can be open to interpretation and you soon find your favourites as you walk around. The road down to it is a sand road and bumpy so be careful! If you are into desert art and things off the beaten track then this is a must! 💕📸🌵🌵
Joshua Tree,California (CA),Noah Purifoy Desert Art Museum,Art Museums,4.0,Please Don’t Go,1.0 of 5 bubbles,I’ve seen art made from recycled materials that was amazing.  But the “art” at this museum didn’t fall into that category.  I’m not sure what attracts people to this place other than the fact that it’s mentioned  on what-to-do lists.  Save your time visiting the area for hiking in Joshua Tree.
Joshua Tree,California (CA),Noah Purifoy Desert Art Museum,Art Museums,4.0,Worth the visit!,5.0 of 5 bubbles,We stopped in here during our trip to Joshua Tree and I wish we had more time to spend there! Such a cool place. It’s almost like an art/history museum. 
Joshua Tree,California (CA),Joshua Tree Visitor Center,Visitor Centers,4.5,Helpful Information Center for Tourist,5.0 of 5 bubbles,"New community and area to explore. Stopped at the Joshua Tree Visitor Center to obtain current information about the National Park and activities in the surrounding area. This small visitor center maned by two park rangers who were extremely helpful. Received a plethora of information of hiking trails within the park and lot of helpful information about various attractions located in the confines of the city of Joshua Tree. This Visitor Center has a small walk-through exhibit that provides information about the National Park and its origins. Highly informative. A small gift shop and cafe are located on site, which will provide you with that memento of your trip to this National Park, and an opportunity to obtain a cold drink and a snack before you venture into the park. Restroom facilities are current closed down due to Covid-19 restriction. Porta potties are available. Large parking lot suited for all types of vehicles."
Joshua Tree,California (CA),Joshua Tree Visitor Center,Visitor Centers,4.5,Joshua Tree,5.0 of 5 bubbles,"Every one of our national parks has a beauty of its own.  Joshua tree is no different beautiful desert with loads of hiking trails for all skill levels.  Most people don't want to see rain on their vacation but it poured rain when we were there.  You don't often get a chance to see rain and the amount of water in the washes in the desert.  It was a real treat.  We toured in early March and got to see many of the flower blooms in the desert.  There is a lot of info, books, internet, etc to plan a trip.  If hiking take a hiking poles,  they were most helpful."
Joshua Tree,California (CA),Joshua Tree Visitor Center,Visitor Centers,4.5,park so nice,5.0 of 5 bubbles,very nice people and park guides help you👌just go on their advice and adventure tips.
Joshua Tree,California (CA),Joshua Tree Visitor Center,Visitor Centers,4.5,A must stop before entering the park,5.0 of 5 bubbles,"A great place to start you trip to the park.  The rangers inside are extremely helpful in providing information and tips about where to go, how to get there and good places based on what you want to see and do.  They provide free maps of the park and have restrooms available inside as well as information about the area and its history."
Joshua Tree,California (CA),Joshua Tree Visitor Center,Visitor Centers,4.5,Excellent and Informative Staff,5.0 of 5 bubbles,We were on vacation in Palm Desert recently and decided to take a trip to Joshua Tree Visitors Centre and enquire what would be the best trip to do in our car in just half a day .
Joshua Tree,California (CA),Joshua Tree Visitor Center,Visitor Centers,4.5,It's December 2022 and you need a MASK!,2.0 of 5 bubbles,Bring your masks folks!  
