Name,Coords,Distance,Avg time,Climb,Descent,Activities,Riding Area,Difficulty Rating,Local Popularity,Altitude start,Altitude end,Grade
Lilac Trail,"(32.992430, -117.116500)","4,465 ft",00:06:59,98 ft,-178 ft,Mountain Bike E-Bike Hike Trail Running,"Black Mountain
San Diego, California",Blue rate,95 in Mountain Biking [+],796 ft,716 ft,-1.79%
Lillian Lake #24E04,"(37.542900, -119.322430)",5.4 miles,NA,"1,058 ft",-770 ft,Hike Horse Trail Running,"Ansel Adams Wilderness
Mammoth Lakes, California",Black Diamond rate,60 in Hiking [+],"8,340 ft","8,629 ft",1%
Lillian V. Miller Memorial Trail (East Segment),"(34.038360, -117.237000)","5,121 ft",00:03:17,NA,-70 ft,Mountain Bike Hike Trail Running,"South Hills Preserve
Loma Linda, California",White rate,65 in Mountain Biking [+],"1,336 ft","1,266 ft",-1.4%
Lillian V. Miller Memorial Trail (West Segment),"(34.039440, -117.243630)","1,362 ft",00:00:56,18 ft,NA,Mountain Bike Hike Trail Running,"South Hills Preserve
Loma Linda, California",White rate,65 in Mountain Biking [+],"1,314 ft","1,332 ft",1.4%
Lilly Trail,"(37.110410, -119.309820)","2,119 ft",00:06:12,40 ft,-105 ft,Hike Mountain Bike Trail Running,"Shaver Lake
shaver lake, California",Blue rate,80 in Mountain Biking [+],"5,500 ft","5,436 ft",-3.1%
Lily,"(39.244840, -120.038960)",574 ft,00:00:23,8 ft,NA,Mountain Bike Hike Trail Running,"Tahoe Vista Neighborhood Trails
Tahoe Vista, California",Green rate,15 in Mountain Biking [+],"6,293 ft","6,299 ft",1.3%
Lily Lake Connector 12E18A,"(39.719720, -120.664010)",489 ft,00:02:38,4 ft,-11 ft,Hike Mountain Bike Horse Trail Running,"Lakes Basin
Graeagle, California",Blue rate,5 in Mountain Biking [+],"5,832 ft","5,827 ft",-1.1%
Lily Lake Trail #12E18,"(39.721990, -120.662650)","3,832 ft",00:18:24,202 ft,-27 ft,Hike Mountain Bike Horse Trail Running,"Lakes Basin
Graeagle, California",Blue rate,45 in Mountain Biking [+],"5,805 ft","5,981 ft",4.6%
Lily Lake Trail,"(38.871620, -120.063270)",1.9 miles,00:30:32,81 ft,-734 ft,Mountain Bike Hike Trail Running,"Angora Ridge
Meyers, California",Black Diamond rate,85 in Mountain Biking [+],"7,202 ft","6,549 ft",-6.4%
Lily Pond,"(40.537560, -121.564400)","2,881 ft",00:11:16,26 ft,-21 ft,Hike Trail Running,"Lassen Volcanic National Park
Redding, California",Green rate,65 in Hiking [+],"5,911 ft","5,915 ft",0.1%
Lily Pond Access (North),"(37.771300, -122.461010)",223 ft,NA,14 ft,NA,Mountain Bike Hike Trail Running,"Golden Gate Park
San Francisco, California",Green rate,20 in Mountain Biking [+],263 ft,279 ft,7.8%
Lily Pond Loop (East),"(37.770470, -122.459860)",738 ft,00:01:13,23 ft,-25 ft,Mountain Bike Hike Trail Running,"Golden Gate Park
San Francisco, California",Green rate,65 in Mountain Biking [+],258 ft,256 ft,-0.4%
Lily Pond Loop (North),"(37.771310, -122.461080)",387 ft,00:00:35,NA,NA,Mountain Bike Hike Trail Running,"Golden Gate Park
San Francisco, California",Green rate,50 in Mountain Biking [+],249 ft,249 ft,0.1%
Lily Pond Loop (West),"(37.771660, -122.462280)",699 ft,00:00:56,12 ft,-3 ft,Mountain Bike Hike Trail Running,"Golden Gate Park
San Francisco, California",Green rate,80 in Mountain Biking [+],245 ft,256 ft,1.5%
Lily Trail (Shaver Perimeter),"(37.098500, -119.299980)",1.3 miles,00:10:50,156 ft,-177 ft,Mountain Bike Hike Trail Running,"Shaver Lake
shaver lake, California",Blue rate,100 in Mountain Biking [+],"5,560 ft","5,541 ft",-0.3%
Lilypad Lake Trail 08W21,"(41.011940, -122.807620)",2.4 miles,NA,415 ft,"-1,095 ft",Hike Horse Trail Running,"Trinity Alps Wilderness (Eastern)
Trinity Center, California",Blue rate,5 in Hiking [+],"6,738 ft","6,056 ft",-5.4%
Limantour Spit,"(38.026240, -122.883130)","5,131 ft",NA,5 ft,NA,Hike Trail Running,"Phillip Burton Wilderness
California",Green rate,5 in Hiking [+],17 ft,23 ft,0.1%
Limbo,"(36.448210, -118.865500)","1,720 ft",00:06:01,114 ft,-162 ft,Mountain Bike Hike Trail Running,"Case Mountain
Three Rivers, California",Blue rate,5 in Mountain Biking [+],"1,438 ft","1,390 ft",NA
Lime Kiln Trail,"(37.001390, -122.048740)","2,388 ft",00:03:15,34 ft,-141 ft,Hike Trail Running,"Pogonip Open Space
Santa Cruz, California",Green rate,75 in Hiking [+],548 ft,440 ft,-4.5%
Lime Orchard Trail,"(34.122520, -118.406670)",541 ft,00:03:25,86 ft,NA,Mountain Bike Hike Trail Running,"Franklin Canyon Park
Beverly Hills, California",Green rate,5 in Mountain Biking [+],916 ft,"1,001 ft",15.4%
Lime Ridge,"(37.945197, -122.000474)",1.2 miles,00:14:43,281 ft,-208 ft,Mountain Bike Hike Trail Running,"Lime Ridge
Concord, California",Green rate,5 in Mountain Biking [+],447 ft,522 ft,1.2%
Limekiln - Lower,"(37.200210, -121.980110)",2.0 miles,00:30:21,"1,050 ft",-81 ft,Mountain Bike Hike Trail Running,"Sierra Azul Open Space Preserve
Los Gatos, California",Blue rate,75 in Mountain Biking [+],680 ft,"1,650 ft",9%
Limekiln Canyon,"(34.295750, -118.551440)",1.8 miles,00:13:31,10 ft,-405 ft,Mountain Bike E-Bike Hike Trail Running,"Northridge
, California",Blue rate,90 in Mountain Biking [+],"1,523 ft","1,129 ft",-4%
Limerick Mesa Trail,"(32.843810, -117.178870)","1,890 ft",00:03:20,14 ft,-169 ft,Mountain Bike Hike Trail Running,"Rose Canyon
San Diego, California",Black Diamond rate,25 in Mountain Biking [+],378 ft,223 ft,-8.2%
Limestone Canyon Road,"(33.757150, -117.700310)",3.9 miles,00:46:03,424 ft,-3 ft,Hike Mountain Bike Horse Trail Running,"Irvine Ranch Open Space
Irvine, California",Green rate,50 in Mountain Biking [+],873 ft,"1,296 ft",2.1%
Limestone Ridge,"(33.752520, -117.683230)",3.5 miles,NA,715 ft,-163 ft,Hike Trail Running,"Irvine Ranch Open Space
Irvine, California",Black Diamond rate,65 in Hiking [+],"1,020 ft","1,572 ft",3%
Limestone Spur,"(33.752420, -117.683230)","1,201 ft",00:00:28,NA,-55 ft,Mountain Bike Horse Hike Trail Running,"Irvine Ranch Open Space
Irvine, California",Blue rate,55 in Mountain Biking [+],"1,000 ft",945 ft,-4.7%
Lincoln / MLK Connector (East),"(37.765330, -122.484160)",226 ft,NA,NA,NA,Mountain Bike Hike Trail Running,"Golden Gate Park
San Francisco, California",Green rate,40 in Mountain Biking [+],192 ft,194 ft,1%
Lincoln Boulevard / Gibson Road Connector,"(37.788620, -122.482660)",853 ft,00:01:42,NA,-29 ft,Hike Trail Running,"San Francisco
, California",Green rate,5 in Hiking [+],67 ft,36 ft,-3.5%
Lincoln Boulevard Access,"(37.793870, -122.480470)",259 ft,NA,NA,-10 ft,Hike Trail Running,"San Francisco
, California",Green rate,70 in Hiking [+],115 ft,105 ft,-3.7%
Lincoln Highway Scramble,"(39.315885, -120.320925)",670 ft,00:05:17,2 ft,-102 ft,Hike Mountain Bike Horse Trail Running,"Donner Summit
Truckee, California",Double Black Diamond rate,30 in Mountain Biking [+],"6,943 ft","6,843 ft",-14.893%
Lincoln Park Steps,"(37.783510, -122.493480)",105 ft,NA,NA,NA,Hike Trail Running,"San Francisco
, California",Green rate,5 in Hiking [+],225 ft,226 ft,NA
Lincoln Parkin Trail,"(37.800270, -122.453330)",551 ft,00:00:12,NA,-8 ft,Mountain Bike Hike Trail Running,"The Presidio of San Francisco
San Francisco, California",Green rate,35 in Mountain Biking [+],50 ft,43 ft,-1.4%
Lincoln Playground Trail,"(37.764690, -122.505080)",102 ft,NA,NA,NA,Mountain Bike Hike Trail Running,"Golden Gate Park
San Francisco, California",Green rate,40 in Mountain Biking [+],66 ft,69 ft,1.9%
Lincoln to Golden Gate Access,"(37.806060, -122.475790)",843 ft,00:00:54,51 ft,NA,Hike Trail Running,"San Francisco
, California",Green rate,90 in Hiking [+],189 ft,243 ft,6.3%
Lincoln Trail,"(37.805950, -122.476820)","1,946 ft",00:02:35,72 ft,NA,Mountain Bike Hike Trail Running,"The Presidio of San Francisco
San Francisco, California",Green rate,100 in Mountain Biking [+],203 ft,276 ft,3.7%
Lincoln Trail,"(37.765690, -122.478610)",1.7 miles,00:08:27,NA,-176 ft,Mountain Bike Hike Trail Running,"Golden Gate Park
San Francisco, California",Green rate,90 in Mountain Biking [+],204 ft,30 ft,-1.9%
Lincoln Way Trail (East),"(37.767260, -122.458980)","2,316 ft",00:02:37,26 ft,-43 ft,Mountain Bike Hike Trail Running,"Golden Gate Park
San Francisco, California",Green rate,80 in Mountain Biking [+],280 ft,262 ft,-0.8%
Lincoln/Coastal Connector,"(37.801840, -122.477660)",85 ft,00:00:16,NA,NA,Hike Trail Running,"The Presidio of San Francisco
San Francisco, California",Green rate,55 in Hiking [+],273 ft,272 ft,NA
Linda Falls Trail,"(38.559800, -122.443120)","3,327 ft",00:23:06,64 ft,-159 ft,Hike Trail Running,"Angwin
, California",Green rate,70 in Hiking [+],"1,540 ft","1,444 ft",-2.9%
Lindero Canyon Trail,"(34.193020, -118.784830)","2,027 ft",00:01:37,9 ft,-96 ft,Mountain Bike Hike Trail Running,"Oak Park
, California",Green rate,50 in Mountain Biking [+],"1,295 ft","1,208 ft",-4.29%
Lindley Meadow Trail,"(37.769680, -122.490920)",276 ft,00:00:09,NA,NA,Mountain Bike Hike Trail Running,"Golden Gate Park
San Francisco, California",Green rate,35 in Mountain Biking [+],136 ft,138 ft,NA
Lindquist Loops,"(39.339700, -123.761850)","5,180 ft",00:09:59,NA,-321 ft,Mountain Bike Hike Trail Running,"Jackson Demonstration State Forest
Mendocino, California",Blue rate,90 in Mountain Biking [+],551 ft,230 ft,-6.2%
Lindsay Lake Trail,"(39.433160, -120.605024)",2.6 miles,00:33:44,499 ft,-431 ft,Mountain Bike Hike Trail Running,"Grouse Ridge
Nevada City, California",Blue rate,45 in Mountain Biking [+],"6,368 ft","6,436 ft",0.489%
line #1,"(34.415230, -119.837410)",318 ft,00:00:24,NA,-15 ft,Mountain Bike Hike Trail Running,"Santa Barbara
, California",Green rate,65 in Mountain Biking [+],41 ft,23 ft,-5.2%
Line #2,"(34.415220, -119.837410)",325 ft,00:00:19,NA,-12 ft,Mountain Bike Hike Trail Running,"Goleta
, California",Black Diamond rate,70 in Mountain Biking [+],38 ft,23 ft,-4.4%
Line Shack,"(33.679680, -117.646150)",1.0 mile,00:12:15,296 ft,-150 ft,Mountain Bike Horse Hike Trail Running,"Whiting Ranch Wilderness Park
Lake Forest, California",Blue rate,50 in Mountain Biking [+],910 ft,"1,056 ft",2.7%
Linear Bike Trail,"(38.258810, -122.049850)",1.6 miles,00:07:09,15 ft,NA,Mountain Bike Hike Trail Running,"Fairfield
, California",Green rate,10 in Mountain Biking [+],31 ft,49 ft,0.2%
Linear Bike Trail,"(38.233370, -122.119120)",4.4 miles,NA,17 ft,-17 ft,Mountain Bike Hike Trail Running,"Fairfield
, California",Green rate,5 in Mountain Biking [+],33 ft,33 ft,-0%
Lion Canyon 22W06,"(34.499550, -119.129220)",5.5 miles,01:52:15,121 ft,"-2,123 ft",Mountain Bike Horse Hike Trail Running,"Ojai
, California",Black Diamond rate,30 in Mountain Biking [+],"5,158 ft","3,156 ft",-6.8%
Lion Lake,"(41.051160, -122.874120)",4.4 miles,NA,"1,477 ft","-2,064 ft",Hike Horse Trail Running,"Trinity Alps Wilderness (Eastern)
Trinity Center, California",Black Diamond rate,5 in Hiking [+],"5,937 ft","5,351 ft",-2.5%
Lion Point Trail,"(37.601760, -119.122100)",3.0 miles,NA,311 ft,-466 ft,Hike Trail Running,"Mammoth Lakes
, California",Black Diamond rate,5 in Hiking [+],"9,013 ft","8,858 ft",-1%
Lipps Camp #6E01,"(41.089700, -123.443700)",2.4 miles,NA,598 ft,-593 ft,Hike Horse Trail Running,"Trinity Alps Wilderness (Salmon Summit)
Trinity Center, California",Blue rate,5 in Hiking [+],"4,706 ft","4,711 ft",NA
Lipstick Lake #5508,"(41.331640, -122.952170)","3,268 ft",NA,545 ft,NA,Hike,"Russian Wilderness
Etna, California",Black Diamond rate,5 in Hiking,"5,804 ft","6,348 ft",16.7%
Lisa & Douglas Goldman Tennis Center Loop,"(37.770680, -122.455660)","1,778 ft",00:02:26,3 ft,NA,Mountain Bike Hike Trail Running,"Golden Gate Park
San Francisco, California",Green rate,35 in Mountain Biking [+],246 ft,249 ft,0.1%
Lisa & Douglas Goldman Tennis Center Outer Loop,"(37.770710, -122.456970)","2,028 ft",00:06:37,12 ft,-16 ft,Mountain Bike Hike Trail Running,"Golden Gate Park
San Francisco, California",Green rate,55 in Mountain Biking [+],251 ft,246 ft,-0.3%
Lisa & Douglas Goldman Tennis Center Trail,"(37.770300, -122.459950)",679 ft,00:00:45,8 ft,-2 ft,Mountain Bike Hike Trail Running,"Golden Gate Park
San Francisco, California",Green rate,90 in Mountain Biking [+],251 ft,256 ft,0.8%
Lisa Killough Trail,"(37.172710, -121.792890)",4.4 miles,00:28:35,422 ft,-394 ft,Mountain Bike E-Bike Hike Trail Running,"Calero County Park
San Jose, California",Blue rate,100 in Mountain Biking [+],528 ft,554 ft,0.1%
Lisa's Lookout,"(37.176110, -121.804230)",194 ft,00:01:44,13 ft,NA,Mountain Bike Hike Trail Running,"Calero County Park
San Jose, California",Green rate,90 in Mountain Biking [+],848 ft,860 ft,6.6%
Little 500,"(35.273190, -120.650730)",186 ft,00:18:29,6 ft,-2 ft,Mountain Bike Hike Trail Running,"Terrace Hill Open Space
San Luis Obispo, California",Green rate,50 in Mountain Biking [+],497 ft,499 ft,1.358%
Little Bald Hills,"(41.789110, -124.072490)",9.1 miles,01:31:41,"1,953 ft","-1,665 ft",Mountain Bike E-Bike Horse Hike Trail Running,"Jedediah Smith Redwoods State Park
Crescent City, California",Blue rate,95 in Mountain Biking [+],115 ft,404 ft,0.6%
Little Bald Hills Trail (South) #1E03,"(41.725560, -123.992630)",1.5 miles,NA,550 ft,-41 ft,Hike Mountain Bike Horse Trail Running,"Smith River National Recreation Area
Gasquet, California",Green rate,5 in Mountain Biking [+],492 ft,"1,001 ft",6.4%
Little Bald Mountain Trail #13E16,"(39.145670, -120.505870)",2.5 miles,NA,124 ft,-742 ft,Hike Mountain Bike Horse Trail Running,"French Meadows
Soda Springs, California",Blue rate,5 in Mountain Biking [+],"7,102 ft","6,486 ft",-4.8%
Little Baldy Trail,"(36.620030, -118.809350)",1.6 miles,NA,708 ft,-23 ft,Hike Trail Running,"Redwood Mountain
Hartland, California",Blue rate,100 in Hiking [+],"7,359 ft","8,045 ft",8%
Little Berms,"(32.958383, -117.174318)","1,368 ft",00:03:07,NA,-95 ft,Mountain Bike E-Bike Hike Trail Running,"Los Peñasquitos Canyon
San Diego, California",Blue rate,65 in Mountain Biking [+],335 ft,240 ft,-7.1%
Little Bird,"(34.226820, -117.052500)","1,742 ft",00:01:24,18 ft,-120 ft,Mountain Bike Hike Trail Running,"Rim Nordic
Big Bear, California",Black Diamond rate,65 in Mountain Biking [+],"6,841 ft","6,739 ft",-5.859%
Little Black Loop,"(32.980730, -117.104240)","2,239 ft",00:02:46,41 ft,-65 ft,Mountain Bike E-Bike Hike Trail Running,"Black Mountain
San Diego, California",Blue rate,90 in Mountain Biking [+],"1,213 ft","1,189 ft",-1.084%
Little Boulder Lake 8W11,"(41.052630, -122.801230)","2,802 ft",NA,125 ft,-122 ft,Hike Horse Trail Running,"Trinity Alps Wilderness (Eastern)
Trinity Center, California",Blue rate,5 in Hiking [+],"6,327 ft","6,329 ft",0.1%
Little Bridge Canyon Trail,"(36.601290, -117.095520)",3.8 miles,NA,"1,964 ft",NA,Hike,"Death Valley National Park
Lone Pine, California",Black Diamond rate,5 in Hiking,410 ft,"2,375 ft",9.9%
Little Bridges,"(34.231730, -117.032140)","2,831 ft",00:03:55,34 ft,-57 ft,Mountain Bike Hike Trail Running,"Rim Nordic
Running Springs, California",Blue rate,95 in Mountain Biking [+],"6,905 ft","6,883 ft",-0.8%
Little Canyon Trail,"(33.915100, -117.769580)","1,654 ft",00:05:45,270 ft,NA,Mountain Bike Hike Trail Running,"Fullerton
California",Green rate,25 in Mountain Biking [+],904 ft,"1,174 ft",16.324%
Little Castle Lake / Mt. Bradley 4W02,"(41.222740, -122.379380)",4.3 miles,NA,533 ft,"-1,062 ft",Hike Trail Running,"Castle Lake
Mount Shasta, California",Blue rate,5 in Hiking [+],"5,851 ft","5,322 ft",-2.3%
Little Cottonwood Creek Trail,"(36.473320, -118.120180)",4.4 miles,NA,"1,445 ft",-443 ft,Hike Horse Trail Running,"Golden Trout Wilderness
Lone Pine, California",Blue rate,5 in Hiking [+],"9,255 ft","10,259 ft",4.3%
Little Deer Creek Trail,"(39.260840, -121.012830)",889 ft,00:00:50,34 ft,-21 ft,Mountain Bike Hike Trail Running,"Nevada City
, California",Blue rate,70 in Mountain Biking [+],"2,486 ft","2,500 ft",1.4%
Little Duck Lake #5511,"(41.312570, -122.942810)","3,402 ft",NA,354 ft,NA,Hike Horse Trail Running,"Russian Wilderness
Etna, California",Black Diamond rate,85 in Hiking [+],"6,329 ft","6,683 ft",10.4%
Little Dude Trail,"(34.325980, -118.874730)",732 ft,NA,60 ft,NA,Mountain Bike Hike Trail Running,"Happy Camp Canyon Regional Park
Moorpark, California",Green rate,5 in Mountain Biking [+],"1,129 ft","1,191 ft",8.2%
Little Elk Lake #5540,"(41.563600, -123.146370)",2.3 miles,NA,828 ft,-612 ft,Hike Horse Trail Running,"Marble Mountain Wilderness
Etna, California",Black Diamond rate,95 in Hiking [+],"5,157 ft","5,374 ft",1.8%
Little Elk Pass Trail #5536,"(41.564430, -123.132030)",2.6 miles,NA,"1,396 ft",-877 ft,Hike Trail Running,"Marble Mountain Wilderness
Etna, California",Black Diamond rate,5 in Hiking [+],"5,387 ft","5,906 ft",3.8%
Little Falls,"(35.274500, -120.479990)",2.8 miles,NA,372 ft,"-1,746 ft",Hike Trail Running,"Santa Lucia Wilderness
California",Black Diamond rate,85 in Hiking [+],"2,044 ft",670 ft,-9.429%
Little Finger,"(33.569720, -117.645800)","1,758 ft",00:01:34,NA,-33 ft,Mountain Bike Hike Trail Running,"Ladera Ranch
California",Green rate,75 in Mountain Biking [+],379 ft,345 ft,-1.904%
Little Flat,"(38.715531, -123.024272)",669 ft,00:00:53,64 ft,-39 ft,Mountain Bike Horse Hike Trail Running,"Lake Sonoma
Geyserville, California",Green rate,90 in Mountain Biking [+],602 ft,627 ft,3.815%
Little Grass Valley Campground,"(39.749180, -120.961960)",1.1 miles,00:07:04,24 ft,-35 ft,Hike Mountain Bike Horse Trail Running,"Sierra County
California",Green rate,NA,"5,064 ft","5,056 ft",-0.2%
Little Green Valley,"(34.232298, -117.049704)","4,023 ft",00:05:29,40 ft,-479 ft,Mountain Bike Hike Trail Running,"Rim Nordic
Big Bear, California",Black Diamond rate,5 in Mountain Biking [+],"7,203 ft","6,764 ft",-10.926%
Little Grizzly Creek Trail,"(39.666500, -120.841920)",1.7 miles,NA,NA,"-1,443 ft",Dirtbike/Moto Mountain Bike E-Bike Horse Hike Trail Running,"Downieville Trail Network
Downieville, California",Black Diamond rate,5 in Mountain Biking [+],"6,440 ft","4,997 ft",-15.8%
Little Hebe Crater Trail,"(37.004770, -117.451870)","1,129 ft",NA,24 ft,-14 ft,Hike,"Death Valley National Park
Lone Pine, California",Green rate,85 in Hiking,"2,794 ft","2,802 ft",0.8%
Little Horse Trail #34E02,"(36.179460, -118.300690)",5.1 miles,00:44:17,344 ft,"-1,092 ft",Mountain Bike E-Bike Horse Hike Trail Running Dirtbike/Moto,"Kern Plateau
Lone Pine, California",Blue rate,100 in Mountain Biking [+],"8,523 ft","7,776 ft",-2.8%
Little Joe's Pass Scramble,"(36.703020, -118.441460)",1.1 miles,NA,"2,323 ft",NA,Hike Trail Running,"Independence
, California",Double Black Diamond rate,5 in Hiking [+],"10,187 ft","12,510 ft",40.2%
Little Kicker,"(34.043792, -117.480594)","1,201 ft",00:02:01,46 ft,-25 ft,Mountain Bike Hike Trail Running,"Southridge
Fontana, California",Blue rate,55 in Mountain Biking [+],941 ft,962 ft,1.744%
Little Lake #27E59,"(37.154390, -119.052780)","4,580 ft",NA,NA,-405 ft,Hike Horse Trail Running,"China Peak Mountain Resort
Lakeshore, California",Black Diamond rate,5 in Hiking [+],"9,631 ft","9,226 ft",-8.8%
Little Lake Sherwood Trail,"(39.316600, -123.751360)",1.4 miles,00:13:50,25 ft,-110 ft,Mountain Bike E-Bike Horse Hike Trail Running,"Jackson Demonstration State Forest
Mendocino, California",Green rate,20 in Mountain Biking [+],573 ft,489 ft,-1.2%
Little Lake Sherwood Trail,"(39.320940, -123.739490)","3,776 ft",00:08:02,139 ft,-62 ft,Mountain Bike Hike Trail Running,"Jackson Demonstration State Forest
Mendocino, California",Green rate,65 in Mountain Biking [+],501 ft,577 ft,2.1%
Little Lakes Valley Trail #2912,"(37.435270, -118.747120)",3.6 miles,05:17:20,931 ft,-88 ft,"Horse Hike Trail Running
Mountain Biking not recommended or allowed.","Mono County
California",Green rate,NA,"10,266 ft","11,109 ft",4.5%
Little Live Oak Canyon,"(34.010368, -117.120317)","4,917 ft",00:05:47,146 ft,-59 ft,Mountain Bike Hike Trail Running,"Herngt'Aki' Preserve
Redlands, California",Green rate,50 in Mountain Biking [+],"1,921 ft","2,008 ft",1.764%
Little Llagas Creek Trail,"(37.149620, -121.775940)",1.3 miles,NA,471 ft,-33 ft,Hike Horse Trail Running,"Calero County Park
San Jose, California",Blue rate,5 in Hiking [+],698 ft,"1,135 ft",6.2%
Little Long Canyon Road,"(37.215490, -121.472710)",1.9 miles,NA,242 ft,-399 ft,Mountain Bike Hike Trail Running,"Henry W. Coe State Park
Morgan Hill, California",Blue rate,5 in Mountain Biking [+],"1,438 ft","1,280 ft",-1.6%
Little Marble Valley Trail #5563,"(41.559700, -123.192200)","3,097 ft",NA,390 ft,NA,Hike Horse Trail Running,"Marble Mountain Wilderness
Etna, California",Blue rate,95 in Hiking [+],"5,511 ft","5,902 ft",12.6%
Little Mike Hates This,"(34.107680, -118.514160)","5,072 ft",00:05:33,65 ft,-217 ft,Mountain Bike E-Bike Hike Trail Running,"Westridge-Canyonback
Santa Monica, California",Blue rate,85 in Mountain Biking [+],"1,775 ft","1,624 ft",-3%
Little Mill Trail #5572,"(41.270220, -122.763680)",4.3 miles,NA,"1,911 ft",-581 ft,Hike Horse Trail Running,"Trinity Alps Wilderness (Eastern)
Trinity Center, California",Blue rate,5 in Hiking [+],"5,353 ft","6,680 ft",5.8%
Little Moab,"(33.924631, -117.302935)","2,490 ft",00:20:06,99 ft,-61 ft,Mountain Bike Hike Trail Running,"Sycamore Canyon
Riverside, California",Black Diamond rate,60 in Mountain Biking [+],"1,474 ft","1,513 ft",1.575%
Little Mountain Trail,"(38.113460, -122.617240)","3,048 ft",00:04:49,52 ft,-140 ft,Mountain Bike Hike Trail Running,"Novato
, California",Green rate,40 in Mountain Biking [+],217 ft,128 ft,-2.9%
Little North Fork Salmon Trail #5406,"(41.341690, -123.180380)",9.2 miles,NA,"3,998 ft",-785 ft,Hike Horse Trail Running,"Marble Mountain Wilderness
Etna, California",Blue rate,5 in Hiking [+],"2,819 ft","6,033 ft",6.6%
Little North Fork Salmon Trail (Lower),"(41.322130, -123.177130)",1.9 miles,NA,323 ft,-65 ft,Hike Horse Trail Running,"Marble Mountain Wilderness
Etna, California",Blue rate,5 in Hiking [+],"2,076 ft","2,336 ft",2.6%
Little Pine Spring Trail,"(34.608410, -119.749830)","1,188 ft",NA,3 ft,-258 ft,Hike Trail Running,"Santa Barbara
, California",Blue rate,5 in Hiking [+],"3,612 ft","3,356 ft",-21.4%
Little Pony,"(35.192578, -120.444821)","3,539 ft",00:08:51,3 ft,-475 ft,Mountain Bike Hike Trail Running,"Lopez Lake
Arroyo Grande, California",Green rate,65 in Mountain Biking [+],"1,035 ft",563 ft,-13.357%
Little Redding,"(37.345930, -118.280260)",1.6 miles,00:08:56,NA,-962 ft,Mountain Bike E-Bike Hike Trail Running,"Bishop Area Trails
Bishop, California",Blue rate,5 in Mountain Biking [+],"5,102 ft","4,140 ft",-11.2%
Little River Blowhole,"(39.269050, -123.787290)",925 ft,NA,11 ft,-59 ft,Hike,"Mendocino
, California",Green rate,5 in Hiking,129 ft,82 ft,-5.2%
Little Round Top Trail #17E16,"(38.727648, -120.055085)",3.0 miles,00:34:58,822 ft,-307 ft,Mountain Bike Hike Trail Running Dirtbike/Moto,"Strawberry
, California",Black Diamond rate,60 in Mountain Biking [+],"8,447 ft","8,962 ft",3.23%
Little Silver,"(38.909020, -120.767390)",2.0 miles,NA,218 ft,-340 ft,Mountain Bike E-Bike Hike Trail Running,"Georgetown
, California",Blue rate,5 in Mountain Biking [+],"3,163 ft","3,041 ft",-1.2%
Little Silver Connector,"(38.902030, -120.764570)",1.0 mile,00:08:41,174 ft,-210 ft,Mountain Bike E-Bike Hike Trail Running,"Georgetown
, California",Blue rate,45 in Mountain Biking [+],"2,952 ft","2,917 ft",-0.7%
Little South Fork Elk River Trail,"(40.673460, -124.099840)",2.3 miles,NA,"1,184 ft",-89 ft,Hike Trail Running,"Headwaters Forest Reserve
Eureka, California",Green rate,90 in Hiking [+],204 ft,"1,299 ft",8.9%
Little South Fork Trail #5472,"(41.081270, -123.033700)",3.3 miles,NA,"1,532 ft",-483 ft,Hike Horse Trail Running,"Trinity Alps Wilderness (Northern)
Trinity Center, California",Blue rate,5 in Hiking [+],"3,111 ft","4,160 ft",5.9%
Little South Fork Trail (Caribou Lakes) #5472,"(41.045290, -123.021890)",4.0 miles,NA,"3,285 ft",-605 ft,Hike Trail Running,"Trinity Alps Wilderness (Northern)
Trinity Center, California",Black Diamond rate,5 in Hiking [+],"4,159 ft","6,841 ft",12.6%
Little Sur River Trail,"(36.326170, -121.784670)",2.1 miles,NA,734 ft,-494 ft,Hike Trail Running,"Ventura Wilderness
Big Sur, California",Blue rate,5 in Hiking [+],959 ft,"1,198 ft",2.1%
Little Sur Trail,"(36.322200, -121.862290)",3.0 miles,NA,862 ft,-96 ft,Hike Mountain Bike Trail Running,"Big Sur
, California",Green rate,5 in Mountain Biking [+],290 ft,"1,056 ft",4.9%
Little Sycamore Canyon,"(33.618580, -117.770810)","5,243 ft",00:14:41,75 ft,-450 ft,Hike Trail Running,"Irvine Open Space
Irvine, California",Blue rate,100 in Hiking [+],787 ft,412 ft,NA
Little Tahquitz Valley #3E41,"(33.760830, -116.665600)","4,304 ft",NA,100 ft,-230 ft,Hike Trail Running,"Idyllwild - Pine Cove
, California",Black Diamond rate,75 in Hiking [+],"8,115 ft","7,986 ft",-3%
Little Waimea,"(32.918930, -117.204650)","1,667 ft",00:01:39,NA,-189 ft,Mountain Bike E-Bike Hike Trail Running,"Los Peñasquitos Canyon
San Diego, California",Blue rate,80 in Mountain Biking [+],249 ft,62 ft,-11.3%
Little Whitney to Big Whitney Meadow Trail,"(36.435000, -118.276630)",7.6 miles,NA,886 ft,"-2,160 ft",Hike Trail Running,"Golden Trout Wilderness
Lone Pine, California",Blue rate,5 in Hiking [+],"9,745 ft","8,471 ft",-3.2%
Little Yosemite,"(37.868620, -121.979280)","4,341 ft",00:07:52,25 ft,-390 ft,Mountain Bike Hike Trail Running,"Shell Ridge Open Space
Walnut Creek, California",Blue rate,80 in Mountain Biking [+],806 ft,440 ft,-8.4%
